index,richness,sampling_effort,mean_fnr
30,13,600,0.004545454545454545
30,13,650,0.001590909090909091
30,13,700,0.0018181818181818182
30,13,750,0.0
30,13,800,0.00022727272727272727
30,13,850,0.00045454545454545455
30,13,900,0.0022727272727272726
30,13,950,0.0006818181818181818
30,13,1000,0.002045454545454545
30,13,1050,0.0
30,13,1100,0.0
30,13,1150,0.001590909090909091
30,13,1200,0.0
30,13,1250,0.0
30,13,1300,0.0006818181818181818
30,13,1350,0.00022727272727272727
30,13,1400,0.0009090909090909091
30,13,1450,0.001590909090909091
30,13,1500,0.0
31,13,1,1.0
31,13,25,0.49294579029806684
31,13,50,0.28229215526824225
31,13,100,0.138505698005698
31,13,150,0.07465783475783475
31,13,200,0.04489316239316239
31,13,250,0.029444444444444436
31,13,300,0.02259259259259259
31,13,350,0.01703703703703703
31,13,400,0.014686609686609686
31,13,450,0.01685185185185185
31,13,500,0.006296296296296296
31,13,550,0.006851851851851851
31,13,600,0.0031481481481481477
31,13,650,0.0042592592592592595
31,13,700,0.005185185185185185
31,13,750,0.002962962962962963
31,13,800,0.0012962962962962963
31,13,850,0.002962962962962963
31,13,900,0.002407407407407407
31,13,950,0.0
31,13,1000,0.004074074074074075
31,13,1050,0.0007407407407407407
31,13,1100,0.0012962962962962963
31,13,1150,0.0042592592592592595
31,13,1200,0.0
31,13,1250,0.0011111111111111111
31,13,1300,0.0
31,13,1350,0.0011111111111111111
31,13,1400,0.0005555555555555556
31,13,1450,0.0
31,13,1500,0.002962962962962963
32,14,1,1.0
32,14,25,0.5093353213008228
32,14,50,0.3320067266872153
32,14,100,0.15753579360359624
32,14,150,0.09843080583297147
32,14,200,0.050415156349311235
32,14,250,0.03654124149659863
32,14,300,0.033292942176870746
32,14,350,0.019209183673469386
32,14,400,0.012142857142857144
32,14,450,0.008775510204081632
32,14,500,0.007755102040816326
32,14,550,0.010408163265306122
32,14,600,0.0074489795918367355
32,14,650,0.005
32,14,700,0.00816326530612245
32,14,750,0.0029591836734693877
32,14,800,0.001836734693877551
32,14,850,0.0011224489795918367
32,14,900,0.0030612244897959186
32,14,950,0.002346938775510204
32,14,1000,0.0033673469387755102
32,14,1050,0.0
32,14,1100,0.002040816326530612
32,14,1150,0.003469387755102041
32,14,1200,0.0006122448979591836
32,14,1250,0.0
32,14,1300,0.0
